Player Name,Team,Running Sets,Setting Errors,Still Sets,Sets Per Match
Martinez Gion,NED,1,0,1,0.12
Armoa Morel,ARG,1,0,7,0.12
D. Dimitrov,BUL,1,0,2,0.25
Balaso,ITA,1,1,33,0.09
Lavia,ITA,1,0,30,0.09
Milanović,SRB,1,0,5,0.25
Pasteur,USA,1,0,3,0.25
Danani,ARG,1,0,36,0.25
Lucarelli,BRA,1,0,12,0.14
A. Lagumdzija,TUR,1,0,4,0.25
Popiwczak,POL,1,0,32,0.14
Leon,POL,1,0,9,0.14
Fornal,POL,1,0,17,0.14
Nasevich,POL,0,0,2,0.00
Czunkiewicz,POL,0,4,19,0.00
Szymura,POL,0,0,14,0.00
Hawryluk,POL,0,0,9,0.00
Zaleszczyk,POL,0,0,0,0
Poręba,POL,0,1,8,0.00
Korenblek,NED,0,0,2,0.00
Van Der Ent,NED,0,0,7,0.00
Parkinson,NED,0,0,0,0
Wijkstra,NED,0,0,1,0.00
Bak,NED,0,0,2,0.00
Lipke,NED,0,0,1,0.00
Wen Z. H.,CHN,0,0,16,0.00
Li Y.Z.,CHN,0,0,13,0.00
Zhai D.J.,CHN,0,0,9,0.00
Peng S.K.,CHN,0,0,3,0.00
Wang B.,CHN,0,1,13,0.00
Otsuka,JPN,0,1,21,0.00
Tomita,JPN,0,1,29,0.00
Murayama,JPN,0,0,1,0.00
Nishimoto,JPN,0,0,3,0.00
Soshi,JPN,0,0,3,0.00
Larry,JPN,0,1,6,0.00
Keihan,JPN,0,0,1,0.00
Yamazaki,JPN,0,0,4,0.00
Mašulović V.,SRB,0,0,19,0.00
Negic,SRB,0,0,9,0.00
Perić,SRB,0,0,9,0.00
Gajović,SRB,0,0,4,0.00
Kokeza,SRB,0,0,0,0
Tümer,TUR,0,0,0,0
Ertuğrul Gazi,TUR,0,0,0,0
Savaş,TUR,0,0,4,0.00
Gulmezoglu,TUR,0,1,19,0.00
Hatipoğlu,TUR,0,0,5,0.00
Bayram,TUR,0,0,1,0.00
Georgiev,BUL,0,0,0,0
Atanasov,BUL,0,0,6,0.00
Nachev,BUL,0,0,0,0
Asparuhov,BUL,0,1,35,0.00
Karyagin,BUL,0,0,0,0
Tatarov,BUL,0,0,7,0.00
Zhelev,BUL,0,0,7,0.00
Recine,ITA,0,0,3,0.00
Sani,ITA,0,0,7,0.00
Rychlicki,ITA,0,1,17,0.00
Cortesia,ITA,0,0,0,0
Sanguinetti,ITA,0,0,0,0
Pace,ITA,0,1,11,0.00
Kovalov,UKR,0,0,43,0.00
Poluian,UKR,0,1,6,0.00
Nalozhnyi,UKR,0,0,0,0
Kisiliuk,UKR,0,0,6,0.00
Chelenyak,UKR,0,0,0,0
Uryvkin,UKR,0,0,0,0
Jendryk,USA,0,0,13,0.00
Dagostino,USA,0,1,34,0.00
Gasman,USA,0,0,1,0.00
Flexen,USA,0,0,5,0.00
McHenry,USA,0,1,7,0.00
Ewert,USA,0,0,21,0.00
Conde,ARG,0,0,3,0.00
Martinez Franchi,ARG,0,1,30,0.00
Gallego,ARG,0,0,3,0.00
Scarpa,ARG,0,0,0,0
Gomez,ARG,0,0,9,0.00
Loser Bruno,ARG,0,0,9,0.00
Kukartsev,ARG,0,0,6,0.00
Vicentin,ARG,0,0,28,0.00
Maciel,ARG,0,0,0,0
Zerba,ARG,0,0,4,0.00
Strehlau,FRA,0,0,0,0
Henno,FRA,0,0,6,0.00
Magnin,FRA,0,0,0,0
Ramon,FRA,0,0,6,0.00
Feral,FRA,0,0,0,0
Duflos Rossi,FRA,0,0,1,0.00
Adriano,BRA,0,0,9,0.00
Sabino,BRA,0,0,0,0
Judson,BRA,0,2,10,0.00
Thiery,BRA,0,0,0,0
Maicon,BRA,0,0,2,0.00
Alexandre,BRA,0,0,0,0
Darlan,BRA,0,0,5,0.00
Saadat,IRI,0,0,7,0.00
Poriya,IRI,0,0,13,0.00
Esfandiar,IRI,0,0,13,0.00
Yousef,IRI,0,1,5,0.00
Haghparast,IRI,0,0,2,0.00
Kunstmann,GER,0,0,0,0
John,GER,0,0,16,0.00
Eckardt,GER,0,0,1,0.00
Böhme,GER,0,0,3,0.00
Meier,GER,0,0,0,0
Korreck,GER,0,0,0,0
J. Elser,CAN,0,0,3,0.00
Greves,CAN,0,0,0,0
Sclater,CAN,0,0,4,0.00
Wassenaar Ketrzynski,CAN,0,1,12,0.00
Schnitzer,CAN,0,0,4,0.00
Heslinga,CAN,0,0,16,0.00
Bračko,SLO,0,0,12,0.00
Štalekar,SLO,0,0,6,0.00
Urnaut,SLO,0,0,12,0.00
Mujanović,SLO,0,0,11,0.00
Kržič,SLO,0,0,2,0.00
Concepcion,CUB,0,0,9,0.00
Gonzalez,CUB,0,0,0,0
Camino,CUB,0,0,7,0.00
J. Gutierrez,CUB,0,1,11,0.00
Fiel,CUB,0,0,6,0.00
Matheus,BRA,0,0,4,0.00
Chizoba,BRA,0,0,0,0
Matin,IRI,0,0,0,0
Matić,TUR,0,0,7,0.00
Diaz,ARG,0,0,0,0
Ariakhah,IRI,0,0,0,0
Dilmenler,TUR,0,0,5,0.00
Tevkun,UKR,0,0,1,0.00
Chinenyeze,FRA,0,0,3,0.00
Patry,FRA,0,0,0,0
Krage,GER,0,0,5,0.00
Brand,GER,0,0,32,0.00
Thiago,CUB,0,0,0,0
Šen,SLO,0,0,2,0.00
Plak,NED,0,0,4,0.00
Miwa,JPN,0,0,1,0.00
Galassi,ITA,0,0,4,0.00
Śliwka,POL,0,0,7,0.00
Adamczyk,POL,0,0,3,0.00
Gomułka,POL,0,0,1,0.00
Stefanović,SRB,0,0,0,0
Miao R.T.,CHN,0,0,2,0.00
Ensing,USA,0,0,4,0.00
Holdaway,USA,0,0,0,0
Shoji,USA,0,0,30,0.00
Kirkit,TUR,0,0,1,0.00
Goto,JPN,0,0,0,0
Can Koç,TUR,0,0,0,0
Telkiyski,BUL,0,0,0,0
Onodera,JPN,0,1,2,0.00
Yamamoto,JPN,0,0,3,0.00
Lima B.,ARG,0,0,0,0
Muhammed K.,TUR,0,0,0,0
Marshman,USA,0,0,0,0
Grozer,GER,0,0,0,0
Krick,GER,0,0,0,0
Le Goff,FRA,0,0,1,0.00
de Groot,NED,0,0,1,0.00
D. Kolev,BUL,0,0,3,0.00
Simón,CUB,0,1,17,0.00
Bovolenta,ITA,0,0,1,0.00
Caneschi,ITA,0,0,1,0.00
Kochanowski,POL,0,0,6,0.00
Bołądź,POL,0,0,1,0.00
Canham,CAN,0,0,1,0.00
Pajenk,SLO,0,0,2,0.00
Salazar,ARG,0,0,2,0.00
Yamauchi,JPN,0,0,0,0
Carle,FRA,0,0,0,0
Howe,CAN,0,0,1,0.00
Bednorz,POL,0,0,6,0.00
